[GIN] 2023/10/26 - 20:17:35 | 200 |   44.613738ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/26 - 20:17:35 | 200 |    3.782234ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/26 - 20:17:37 | 401 |    4.893223ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:17:37 | 401 |   18.683402ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:17:38 | 401 |   16.070903ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:17:38 | 401 |   17.669358ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:17:41 | 200 |    3.575013ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/26 - 20:17:50 | 200 |    3.850384ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/26 - 20:17:51 | 200 |  193.185045ms |             ::1 | POST     "/go/Login"
[GIN] 2023/10/26 - 20:17:51 | 200 |   29.254345ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:17:51 | 200 |    9.058089ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:17:51 | 200 |    8.696942ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:17:54 | 200 |    1.544344ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/26 - 20:17:56 | 200 |    4.282945ms |       127.0.0.1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:17:56 | 200 |    4.482375ms |             ::1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:17:56 | 200 |    2.405176ms |       127.0.0.1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:17:59 | 200 |   46.114952ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:18:00 | 200 |    40.16266ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:18:00 | 200 |   45.024298ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:18:00 | 200 |    43.51852ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:18:03 | 200 |   32.896107ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/26 - 20:18:06 | 200 |  1.083170247s |       127.0.0.1 | POST     "/go/Transaction"
[GIN] 2023/10/26 - 20:18:34 | 200 |    1.199401ms |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:34 | 200 |     473.773µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:34 | 200 |     313.413µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:35 | 200 |     529.077µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:35 | 200 |     527.703µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:35 | 200 |     680.833µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:36 | 200 |      698.39µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:36 | 401 |     5.12402ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:18:36 | 200 |  2.268250874s |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:36 | 200 |     702.361µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:36 | 200 |     909.537µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:18:36 | 200 |  100.464027ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:18:37 | 200 |   32.807535ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:18:37 | 200 |   36.155762ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:18:41 | 200 |    4.401945ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/26 - 20:18:43 | 200 |    4.156257ms |       127.0.0.1 | GET      "/go/item/details/ItemID"
[GIN] 2023/10/26 - 20:18:43 | 200 |    1.355269ms |             ::1 | GET      "/go/item/details/ItemID"
[GIN] 2023/10/26 - 20:18:43 | 200 |    1.648273ms |       127.0.0.1 | GET      "/go/item/details/ItemID"
[GIN] 2023/10/26 - 20:18:46 | 200 |   41.244927ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:18:49 | 200 |   33.334891ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/26 - 20:18:52 | 200 |     3.79046ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/26 - 20:18:53 | 200 |    1.626073ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/26 - 20:18:53 | 200 |    1.708175ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/26 - 20:18:53 | 200 |    4.087809ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
