[GIN] 2023/10/17 - 20:06:31 | 200 |   77.712132ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:31 | 200 |   77.261264ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:31 | 200 |   76.087593ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:32 | 200 |   73.142204ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:32 | 200 |   75.670975ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:32 | 200 |   73.919169ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:32 | 200 |   77.907064ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:32 | 200 |   78.262584ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:32 | 200 |   76.401974ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:33 | 200 |   77.418832ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:33 | 200 |    75.89457ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:33 | 200 |   78.124047ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:33 | 200 |   75.961593ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:33 | 200 |   76.517375ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:33 | 200 |   75.709708ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:33 | 200 |   75.730046ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:34 | 200 |   79.578865ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:34 | 200 |   78.913914ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:34 | 200 |   74.723101ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:34 | 200 |   76.767815ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:34 | 200 |   77.805142ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:34 | 200 |   81.074542ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:35 | 200 |   80.910816ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:35 | 200 |   62.493892ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:35 | 200 |   72.360678ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:35 | 200 |   74.081127ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:35 | 200 |   77.081195ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:35 | 200 |   76.361984ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:35 | 200 |   74.351514ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:36 | 200 |   73.627267ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:36 | 200 |   78.818708ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:36 | 200 |   69.156486ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:36 | 200 |   79.224146ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:36 | 200 |   77.597522ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:36 | 200 |   74.102441ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:36 | 200 |    70.61786ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:37 | 200 |   75.768833ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:37 | 200 |   72.213708ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:37 | 200 |   76.922435ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:37 | 200 |    74.99291ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:37 | 200 |   77.769357ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:37 | 200 |   75.790523ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:38 | 200 |   76.049084ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:38 | 200 |   76.779733ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:38 | 200 |   73.035274ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:38 | 200 |   76.054569ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:38 | 200 |   72.855079ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:38 | 200 |   75.032619ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:38 | 200 |   80.029187ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:39 | 200 |   74.011285ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:39 | 200 |   86.269807ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:39 | 200 |   77.088945ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:39 | 200 |   82.053024ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:39 | 200 |   80.437893ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:39 | 200 |   82.387477ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:40 | 200 |   75.275728ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:40 | 200 |   79.795389ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:40 | 200 |   76.866788ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:40 | 200 |   79.885578ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:40 | 200 |   75.024531ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:40 | 200 |   76.058942ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:40 | 200 |   98.604861ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:41 | 200 |   76.591192ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:41 | 200 |   69.897017ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:41 | 200 |   63.506563ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:41 | 200 |   62.598727ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:41 | 200 |   72.374436ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:41 | 200 |   77.674085ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:41 | 200 |   73.605672ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:42 | 200 |   77.317938ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:42 | 200 |     76.1542ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:42 | 200 |   65.593818ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:42 | 200 |   99.802878ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:42 | 200 |     78.3559ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:42 | 200 |   82.026838ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:43 | 200 |   76.757528ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:43 | 200 |    80.09671ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:43 | 200 |   75.589222ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:43 | 200 |   91.284058ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:43 | 200 |   87.180154ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:43 | 200 |   75.800574ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:44 | 200 |   80.829034ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:44 | 200 |   78.444324ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:44 | 200 |   76.605276ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:44 | 200 |   72.619725ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:44 | 200 |   73.574074ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:44 | 200 |   56.428487ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:44 | 200 |   63.041897ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:45 | 200 |   79.191591ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:45 | 200 |   91.750061ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:45 | 200 |   76.035985ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:45 | 200 |   76.806194ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:45 | 200 |   73.218798ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:45 | 200 |   75.927791ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:45 | 200 |   76.255974ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:46 | 200 |   91.535332ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:46 | 200 |   87.986912ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:46 | 200 |   67.307266ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:46 | 200 |   62.430078ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:46 | 200 |   82.337323ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:46 | 200 |   66.024783ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:47 | 200 |   62.209578ms |             ::1 | POST     "/go/SignUp"
