[GIN] 2023/10/30 - 00:17:35 | 200 |   21.533979ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:17:35 | 200 |   13.111304ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:35 | 200 |   16.330698ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:17:35 | 200 |   15.785591ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:53 | 200 |     7.23127ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:54 | 200 |   21.350283ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:54 | 200 |   26.359773ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:17:54 | 200 |   19.242299ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:54 | 200 |   20.453326ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:54 | 200 |   18.346869ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:18:09 | 200 |    7.300749ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:10 | 200 |   15.491287ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:10 | 200 |    1.540784ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:18:10 | 200 |   18.339533ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:11 | 200 |   12.571212ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:14 | 200 |    1.847631ms |             ::1 | GET      "/go/item/details/ItemID"
[GIN] 2023/10/30 - 00:18:14 | 200 |   18.059754ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:14 | 200 |    1.963864ms |             ::1 | GET      "/go/item/details/ItemID"
[GIN] 2023/10/30 - 00:18:14 | 200 |    15.28057ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:20 | 200 |   24.842037ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/30 - 00:18:22 | 200 |   11.615866ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:22 | 200 |    1.516983ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:18:22 | 200 |   24.440901ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:29 | 200 |   28.722698ms |             ::1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/30 - 00:18:29 | 200 |    26.09035ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:18:29 | 200 |    2.330601ms |             ::1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/30 - 00:18:29 | 200 |   17.649501ms |       127.0.0.1 | GET      "/go/GetCart"
