[GIN] 2023/11/01 - 00:37:45 | 200 |   15.466472ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:37:47 | 401 |    4.332737ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:37:48 | 200 |   21.856839ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:37:48 | 200 |   19.874883ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:31 | 200 |   23.360598ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:32 | 200 |   17.356672ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:36 | 401 |    6.230538ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:36 | 200 |   19.339621ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:36 | 200 |   15.499786ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:47 | 200 |   19.446793ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:48 | 200 |   15.043132ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:51 | 401 |     6.31586ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:51 | 200 |   15.432726ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:51 | 200 |   15.720757ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:39:51 | 200 |   11.999279ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:05 | 200 |   21.934715ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:05 | 200 |   14.617803ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:10 | 401 |    6.455315ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:11 | 200 |   18.731579ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:11 | 200 |   18.917723ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:22 | 200 |   24.171156ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:22 | 200 |    15.19869ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:39 | 401 |     6.49087ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:40 | 200 |   32.294199ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:40:40 | 200 |    17.84962ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:43:05 | 200 |   27.242223ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:43:05 | 200 |   24.617896ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:43:07 | 401 |    6.302591ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:43:08 | 200 |   20.239591ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:43:08 | 200 |   17.795422ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:43:57 | 200 |   15.016658ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:43:57 | 200 |   17.892889ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:44:00 | 401 |    6.800503ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:44:00 | 200 |   17.261042ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:44:01 | 200 |   18.178379ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:44:01 | 200 |   14.840462ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:44:01 | 200 |   13.109032ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:44:01 | 200 |    16.61767ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:44:03 | 200 |   22.743172ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:44:03 | 200 |   20.792917ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:44:04 | 401 |    8.568538ms |             ::1 | GET      "/go/Maker/Details"
