[GIN] 2023/11/01 - 08:02:52 | 401 |   14.662452ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:52 | 401 |   14.449037ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:55 | 401 |    8.878483ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 09:48:32 | 200 |   28.089384ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/11/01 - 09:48:52 | 200 |   87.387105ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/11/01 - 09:48:53 | 200 |   36.898603ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 09:48:53 | 200 |   19.346438ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 09:49:01 | 200 |   16.912866ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 09:50:52 | 200 |    3.195511ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/11/01 - 09:50:59 | 200 |    3.887789ms |             ::1 | GET      "/go/item/details/ItemID"
[GIN] 2023/11/01 - 09:50:59 | 200 |    2.126161ms |       127.0.0.1 | GET      "/go/item/details/ItemID"
[GIN] 2023/11/01 - 09:51:00 | 200 |    1.523633ms |             ::1 | GET      "/go/item/details/ItemID"
[GIN] 2023/11/01 - 09:51:05 | 200 |    3.091087ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/11/01 - 14:11:52 | 200 |   42.410116ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/11/01 - 14:14:38 | 200 |   47.817926ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:14:38 | 200 |   21.999566ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:14:42 | 200 |   20.864355ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:14:42 | 200 |   19.298824ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   22.140784ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   15.589784ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   18.830964ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |    21.50066ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   20.459839ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |    21.23397ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   22.083639ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   17.562611ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   18.086592ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   14.901013ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   18.239135ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:42 | 200 |   13.946109ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:43 | 200 |   16.147564ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:43 | 200 |   32.051862ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:43 | 401 |   24.396385ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:43 | 401 |   13.270905ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:17:47 | 401 |    9.412087ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:48 | 200 |  263.151581ms |             ::1 | POST     "/go/Login"
[GIN] 2023/11/01 - 14:31:51 | 200 |  210.067415ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:52 | 200 |  115.918965ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:53 | 200 |    44.97234ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   24.697697ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   19.579671ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   33.908859ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |    16.07905ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   14.751416ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   14.007753ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   14.761652ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   17.015956ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   21.234894ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |    16.86378ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   12.898051ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   22.254895ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:54 | 200 |   14.790299ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   24.387443ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   13.892516ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   14.646023ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   15.116271ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |    17.09035ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   16.174714ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   15.064979ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   15.062063ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   15.772929ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |    13.56965ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   11.952397ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   13.004091ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   11.108198ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   12.208528ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   15.888552ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   13.397709ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |     11.5185ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   11.657836ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:55 | 200 |   14.805772ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:56 | 200 |   14.735541ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:56 | 200 |    12.47851ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:56 | 200 |   17.730361ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:56 | 200 |    17.53969ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:56 | 200 |      14.004ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:56 | 200 |   18.581096ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:56 | 200 |   33.241753ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:56 | 200 |   36.686119ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   10.400105ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   16.822731ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |    14.06754ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   13.554789ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   15.233382ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   11.176765ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   13.575398ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   12.067024ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |    12.41564ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   13.227138ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   36.228526ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   14.595985ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   11.681551ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   17.123024ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   14.698646ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |    15.21599ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:57 | 200 |   14.599171ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   17.365976ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   15.528635ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 14:31:58 | 200 |   15.869805ms |       127.0.0.1 | GET      "/go/GetCustomer"
