[GIN] 2023/10/31 - 16:10:31 | 200 |    1.187267ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:10:51 | 200 |    72.97492ms |             ::1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:10:52 | 200 |   21.654267ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:10:52 | 200 |   14.654364ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:10:52 | 200 |    16.65429ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:10:52 | 200 |   30.791701ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:15:44 | 200 |   22.414158ms |       127.0.0.1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:15:46 | 200 |    1.568695ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:15:56 | 200 |   80.126454ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:15:57 | 200 |    22.51053ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:15:57 | 200 |   13.230897ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:16:32 | 200 |   26.528178ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:16:37 | 200 |   29.692625ms |       127.0.0.1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:16:38 | 200 |    1.280183ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:16:47 | 200 |   69.339065ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:16:48 | 200 |   25.365917ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:16:48 | 200 |   24.831847ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:16:56 | 200 |    2.820895ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:17:10 | 200 |    1.740618ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:17:13 | 200 |   21.704086ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:17:13 | 200 |   16.021889ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:17:14 | 200 |   33.408397ms |             ::1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:17:15 | 200 |    1.103045ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:17:45 | 200 |  101.759559ms |             ::1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:17:46 | 200 |    22.31923ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:17:46 | 200 |   14.513695ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:17:50 | 200 |   19.908146ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:17:50 | 200 |   16.422425ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:18:00 | 200 |     21.2875ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:18:17 | 200 |   20.682117ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:18:17 | 200 |   15.191057ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:18:17 | 200 |   31.289889ms |             ::1 | POST     "/go/SessionEnd"
[GIN] 2023/10/31 - 16:18:18 | 200 |    1.898093ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/31 - 16:18:28 | 200 |   84.923759ms |             ::1 | POST     "/go/Login"
[GIN] 2023/10/31 - 16:18:28 | 200 |   33.931156ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:18:28 | 200 |   15.863196ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:18:28 | 200 |    33.29355ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:18:29 | 200 |   17.960943ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:18:31 | 200 |    18.60138ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:18:32 | 200 |   13.924823ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:18:32 | 200 |   15.515377ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:18:32 | 200 |   12.857802ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:20:16 | 200 |   22.170055ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/31 - 16:20:16 | 200 |   24.939858ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/31 - 16:21:39 | 200 |   17.761826ms |       127.0.0.1 | GET      "/go/GetCustomer"
